task_id,DeepSeek-R1-0528,DeepSeek-V3-0324,DeepSeek-V3.1-thinking-off,DeepSeek-V3.1-thinking-on,Kimi-K2-Instruct,Qwen3-235B-A22B-FP8,Qwen3-235B-A22B-Instruct-2507-FP8,Qwen3-235B-A22B-Thinking-2507-FP8,Qwen3-Coder-480B-A35B-Instruct-FP8,claude-4-opus-thinking-off,claude-4-opus-thinking-on-10k,claude-4-sonnet-thinking-off,claude-4-sonnet-thinking-on-10k,gpt-4.1,gpt-4.1-mini,gpt-4.1-nano,gpt-4o-20240806,gpt-4o-mini,models--Qwen--Qwen3-32B,models--Qwen--Qwen3-8B,o3-high,o4-mini-high
[mms_issue]airplane_mode_on|bad_network_preference|break_app_both_permissions|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
[mms_issue]airplane_mode_on|bad_network_preference|break_app_storage_permission|data_mode_off|user_abroad_roaming_enabled_off[PERSONA:Easy],0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[mms_issue]airplane_mode_on|bad_network_preference|data_usage_exceeded[PERSONA:None],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_both_permissions|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
[mms_issue]airplane_mode_on|bad_wifi_calling|user_abroad_roaming_enabled_off[PERSONA:Easy],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[mms_issue]airplane_mode_on|break_app_both_permissions[PERSONA:Hard],0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
[mms_issue]airplane_mode_on|break_app_both_permissions|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_storage_permission|data_mode_off|data_usage_exceeded|unseat_sim_card[PERSONA:Easy],0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
[mms_issue]bad_network_preference|bad_wifi_calling|break_app_both_permissions|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_disabled_off[PERSONA:None],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
[mms_issue]bad_network_preference|bad_wifi_calling|break_app_both_permissions|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Hard],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission|data_mode_off|data_usage_exceeded|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
[mms_issue]bad_network_preference|bad_wifi_calling|break_app_sms_permission|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Hard],0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[mms_issue]bad_network_preference|break_app_both_permissions[PERSONA:Easy],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
[mms_issue]bad_network_preference|break_app_sms_permission|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:None],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[mms_issue]bad_network_preference|break_app_sms_permission|user_abroad_roaming_disabled_on[PERSONA:Hard],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
[mms_issue]bad_network_preference|data_mode_off|user_abroad_roaming_disabled_on[PERSONA:None],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
[mms_issue]bad_network_preference|user_abroad_roaming_disabled_off[PERSONA:None],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
[mms_issue]bad_network_preference|user_abroad_roaming_disabled_on[PERSONA:None],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_sms_permission|data_usage_exceeded[PERSONA:Hard],0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[mms_issue]bad_wifi_calling|break_apn_mms_setting|data_mode_off|data_usage_exceeded|unseat_sim_card[PERSONA:None],0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
[mms_issue]bad_wifi_calling|data_mode_off|data_usage_exceeded[PERSONA:Easy],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
[mms_issue]break_apn_mms_setting|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:Hard],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[mms_issue]break_apn_mms_setting|user_abroad_roaming_enabled_off[PERSONA:Hard],0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
[mms_issue]break_app_both_permissions|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Hard],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[mms_issue]break_app_sms_permission|data_mode_off[PERSONA:None],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
[mms_issue]break_app_sms_permission|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
[mms_issue]break_app_storage_permission|data_usage_exceeded[PERSONA:Easy],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
[mms_issue]break_app_storage_permission|unseat_sim_card|user_abroad_roaming_disabled_on[PERSONA:Easy],0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[mobile_data_issue]airplane_mode_on|bad_network_preference[PERSONA:Hard],1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Hard],0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0
[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0
[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Easy],1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0
[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|user_abroad_roaming_disabled_off[PERSONA:Hard],1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_mode_off|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Easy],0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0
[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:None],0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
[mobile_data_issue]airplane_mode_on|bad_network_preference|bad_vpn|data_saver_mode_on|user_abroad_roaming_disabled_on[PERSONA:Easy],0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0
[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_saver_mode_on[PERSONA:Hard],0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_on[PERSONA:None],1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
[mobile_data_issue]airplane_mode_on|bad_network_preference|data_mode_off|user_abroad_roaming_disabled_on[PERSONA:Hard],0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
[mobile_data_issue]airplane_mode_on|bad_network_preference|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1
[mobile_data_issue]airplane_mode_on|bad_network_preference|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
[mobile_data_issue]airplane_mode_on|bad_network_preference|user_abroad_roaming_enabled_off[PERSONA:Easy],0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0
[mobile_data_issue]airplane_mode_on|data_mode_off[PERSONA:None],0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
[mobile_data_issue]airplane_mode_on|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Hard],1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0
[mobile_data_issue]airplane_mode_on|data_saver_mode_on|user_abroad_roaming_disabled_on[PERSONA:None],0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
[mobile_data_issue]airplane_mode_on|user_abroad_roaming_enabled_off[PERSONA:None],0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
[mobile_data_issue]bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on[PERSONA:None],0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
[mobile_data_issue]bad_network_preference|bad_vpn|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Easy],1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
[mobile_data_issue]bad_network_preference|bad_vpn|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
[mobile_data_issue]bad_network_preference|bad_vpn|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
[mobile_data_issue]bad_network_preference|bad_vpn|user_abroad_roaming_disabled_off[PERSONA:Hard],0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
[mobile_data_issue]bad_network_preference|bad_vpn|user_abroad_roaming_disabled_on[PERSONA:None],1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
[mobile_data_issue]bad_network_preference|bad_vpn|user_abroad_roaming_enabled_off[PERSONA:Easy],0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0
[mobile_data_issue]bad_network_preference|data_mode_off|data_saver_mode_on|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Easy],0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
[mobile_data_issue]bad_network_preference|data_saver_mode_on|data_usage_exceeded[PERSONA:Hard],0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
[mobile_data_issue]bad_network_preference|user_abroad_roaming_enabled_off[PERSONA:Hard],0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
[mobile_data_issue]bad_vpn|data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:None],0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
[mobile_data_issue]bad_vpn|data_saver_mode_on|user_abroad_roaming_disabled_on[PERSONA:None],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
[mobile_data_issue]data_mode_off|data_usage_exceeded[PERSONA:None],0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
[mobile_data_issue]data_mode_off|data_usage_exceeded|user_abroad_roaming_disabled_off[PERSONA:Hard],0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0
[mobile_data_issue]data_saver_mode_on|data_usage_exceeded[PERSONA:Easy],0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
[mobile_data_issue]data_saver_mode_on|user_abroad_roaming_enabled_off[PERSONA:Easy],0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
[mobile_data_issue]data_usage_exceeded|user_abroad_roaming_enabled_off[PERSONA:Easy],0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[service_issue]airplane_mode_on|break_apn_settings[PERSONA:Hard],0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
[service_issue]airplane_mode_on|break_apn_settings|contract_end_suspension|lock_sim_card_pin|unseat_sim_card[PERSONA:Easy],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
[service_issue]airplane_mode_on|break_apn_settings|contract_end_suspension|unseat_sim_card[PERSONA:Easy],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin[PERSONA:None],0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin|overdue_bill_suspension[PERSONA:Hard],0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin|overdue_bill_suspension|unseat_sim_card[PERSONA:None],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin|unseat_sim_card[PERSONA:None],1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
[service_issue]airplane_mode_on|break_apn_settings|overdue_bill_suspension[PERSONA:None],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
[service_issue]airplane_mode_on|break_apn_settings|overdue_bill_suspension|unseat_sim_card[PERSONA:None],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
[service_issue]airplane_mode_on|break_apn_settings|unseat_sim_card[PERSONA:None],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
[service_issue]airplane_mode_on|contract_end_suspension|lock_sim_card_pin|unseat_sim_card[PERSONA:Hard],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
[service_issue]airplane_mode_on|lock_sim_card_pin[PERSONA:Easy],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[service_issue]airplane_mode_on|lock_sim_card_pin|overdue_bill_suspension|unseat_sim_card[PERSONA:Easy],0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
[service_issue]airplane_mode_on|lock_sim_card_pin|unseat_sim_card[PERSONA:Hard],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
[service_issue]airplane_mode_on|overdue_bill_suspension[PERSONA:None],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
[service_issue]airplane_mode_on|overdue_bill_suspension|unseat_sim_card[PERSONA:Easy],1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
[service_issue]airplane_mode_on|unseat_sim_card[PERSONA:None],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
[service_issue]break_apn_settings|contract_end_suspension|lock_sim_card_pin[PERSONA:Hard],0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
[service_issue]break_apn_settings|lock_sim_card_pin|overdue_bill_suspension[PERSONA:Easy],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
[service_issue]break_apn_settings|lock_sim_card_pin|overdue_bill_suspension|unseat_sim_card[PERSONA:Easy],0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
[service_issue]break_apn_settings|overdue_bill_suspension|unseat_sim_card[PERSONA:Hard],0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0
[service_issue]contract_end_suspension|lock_sim_card_pin[PERSONA:Hard],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
[service_issue]lock_sim_card_pin|overdue_bill_suspension[PERSONA:Easy],0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
[service_issue]overdue_bill_suspension|unseat_sim_card[PERSONA:Easy],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
